Menu Id,Parent menu Id,Menu name,Menu section name,Icon class,Icon,Text,Link to Menu Id,Route path,Note
,,,,fa-regular,rectangle-history,Procházet všechny značky,,,
3,2,Zdraví a léky,,,,,,,
,,,Kategorie,,,,,,
,,,,null,null,Procházet vše,,products/zdravi-a-leky,
,,,,null,null,Bolest,,,
,,,,null,null,Dutina ústní,,,
,,,,null,null,"Gynekologické obtíže, antikoncepce",,,
,,,,null,null,Homeopatika,,,
,,,,null,null,"Chřipka, nachlazení",,,
,,,,null,null,Léky na alergii,,,
,,,,null,null,Léky na paměť a soustředění,,,
,,,,null,null,Léčba hemoroidů,,,
,,,,null,null,Močové cesty a ledviny,,,
,,,,null,null,Nadváha,,,
,,,,null,null,Oči,,,
,,,,null,null,Odvykání kouření,,,
,,,,null,null,Pálení žáhy a žaludek,,,
,,,,null,null,"Pokožka, kůže, vlasy",,,
,,,,null,null,Prostata,,,
,,,,null,null,"Průjem, zácpa, nevolnost, nadýmaní",,,
,,,,null,null,"Spánek, uklidnění",,,
,,,,null,null,"Trávení, játra, žlučník",,,
,,,,null,null,"Vitamíny, minerály, imunita",,,
,,,,null,null,Výživa kloubů a kostí,,,
,,,,null,null,Výživa v nemoci,,,
,,,,null,null,Zdravotnické prostředky,,,
,,,,null,null,Žilní obtíže,,,
4,1,Kontakty,,,,,,,
,,,Kontaktujte nás,,,,,,
,,,,fa-regular,phone,Zákaznická linka,,,
,,,,fa-regular,boxes,Dotazy na stav objednávky,,,
,,,,fa-regular,envelope,E-mail,,,
,,,Pro firmy,,,,,,
,,,,fa-regular,briefcase,Kontakt pro B2B,,,
,,,,fa-regular,microphone-stand,Tiskový mluvčí,,,
,,,Pro uchazeče,,,,,,
,,,,fa-regular,handshake,Kariéra a volná místa,,,
5,1,Média,,,,,,,
,,,Sociální sítě,,,,,,
,,,,fa-brands,Facebook,Facebook,,,
,,,,fa-brands,Instagram,Instagram,,,
,,,,fa-brands,LinkedIn,LinkedIn,,,
,,,,fa-brands,Youtube,Youtube,,,
,,,Tisk,,,,,,
,,,,fa-regular,newspaper,Online leták,,,
,,,,fa-regular,newspaper,Magazín MAXIMUM,,,
6,1,Země,,,,,,,
,,,,custom,check,Česko,,,Changes UI language to
,,,,custom,empty,English,,,Changes UI language to
,,,,custom,empty,Slovensko,,,Changes UI language to
,,,,custom,empty,Polsko,,,Changes UI language to
,,,,custom,empty,Rumunsko,,,Changes UI language to
,,,,custom,empty,Itálie,,,Changes UI language to
,,,,custom,empty,Srbsko,,,Changes UI language to
7,1,"O dopravě, platbě, reklamaci",,,,,,,
,,,Doprava,,,,,,
,,,,fa-regular,boxes-packing,Možnosti dopravy,,,
,,,,fa-regular,arrow-left-from-line,Reklamace nebo vrácení,,,
,,,,fa-regular,map-location,Výdejní místa e-shopu,,,
,,,,fa-regular,boxes,Sledování objednávky,,,
,,,Platba,,,,,,
,,,,fa-regular,wallet,Možnosti platby,,,
,,,,fa-regular,cards-blank,"FKSP, Benefit plus a další",,,
,,,Obecné,,,,,,
,,,,fa-regular,book,Vše o nákupu v e-shopu,,,
,,,,fa-regular,books,Právní dokumenty,,,
8,1,Poradenství a články,,,,,,,
,,,Poradna,,,,,,
,,,,fa-regular,hospital-user,Preventivní péče,,,
,,,,fa-regular,messages,Zeptejte se lékárníka online,,,
,,,,fa-regular,hand-holding-droplet,Dermocentra,,,
,,,,fa-regular,glasses,Články a blogy,,,
9,1,Můj účet,,,,,,,
,,,,fa-regular,boxes-stacked,Moje objednávky,,,
,,,,fa-regular,user-circle,Profil,,,
,,,,fa-regular,badge-percent,Moje slevy a kupóny,,,
,,,,fa-regular,heart,Moje oblíbené,,,
,,,,fa-regular,dog,Hlídací psi,,,
,,,,fa-regular,barcode,Moje Karta výhod,,,
10,1,Věrnostní program,,,,,,,
,,,Moje karta výhod,,,,,,
,,,,null,null,null,,,Custom HTML in the section with loyalty card Barcode
,,,Pro členy,,,,,,
,,,,fa-regular,credit-card,Vše o kartě výhod,,,
,,,,fa-regular,tags,Benefity věrnostního programu,,,
,,,,fa-regular,truck,Doprava zdarma,,,
,,,,fa-regular,piggy-bank,Kolik ušetříte,,,
,,,,fa-regular,key,Registrace / Přihlášení,,,
